 ,NODE_AND,NODE_ARGS,NODE_ARGSCAT,NODE_ARGS_AUX,NODE_ARRAY,NODE_BACK_REF,NODE_BEGIN,NODE_BLOCK,NODE_BLOCK_PASS,NODE_BREAK,NODE_CALL,NODE_CASE,NODE_CDECL,NODE_CFUNC,NODE_CONST,NODE_CVAR,NODE_CVASGN,NODE_DASGN,NODE_DASGN_CURR,NODE_DEFN,NODE_DREGX,NODE_DREGX_ONCE,NODE_DSTR,NODE_DVAR,NODE_ENSURE,NODE_EVSTR,NODE_FBODY,NODE_FCALL,NODE_FOR,NODE_GASGN,NODE_GVAR,NODE_HASH,NODE_IASGN,NODE_IF,NODE_ITER,NODE_IVAR,NODE_LASGN,NODE_LIT,NODE_LVAR,NODE_MASGN,NODE_MATCH2,NODE_MATCH3,NODE_METHOD,NODE_NEXT,NODE_NTH_REF,NODE_OPT_ARG,NODE_OP_ASGN1,NODE_OP_ASGN2,NODE_OP_ASGN_OR,NODE_OR,NODE_RESBODY,NODE_RESCUE,NODE_RETRY,NODE_RETURN,NODE_SCOPE,NODE_SPLAT,NODE_STR,NODE_SUPER,NODE_UNTIL,NODE_VALUES,NODE_VCALL,NODE_WHEN,NODE_WHILE,NODE_YIELD,NODE_ZARRAY,NODE_ZSUPER
17,0.017,0.170,0.011,0.170,1.504,0.000,0.019,9.011,0.003,0.006,0.757,0.003,0.019,6.004,0.278,0.000,0.000,0.000,0.006,0.089,0.003,0.003,0.028,0.198,0.006,0.047,15.338,0.370,0.000,0.000,0.000,0.017,0.248,0.212,0.084,0.830,0.175,0.334,0.490,0.022,0.019,0.008,21.915,0.006,0.022,0.017,0.008,0.000,0.006,0.031,0.033,0.028,0.000,0.022,0.220,0.006,0.529,0.003,0.000,0.000,0.025,0.003,38.478,0.006,0.025,0.412
18,0.000,0.042,0.008,0.042,0.605,0.000,0.014,8.767,0.000,0.000,0.262,0.000,0.000,6.070,0.127,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.008,0.107,0.006,0.014,16.147,0.138,0.000,0.000,0.000,0.014,0.008,0.051,0.051,0.712,0.065,0.096,0.158,0.003,0.000,0.003,23.261,0.000,0.003,0.008,0.008,0.000,0.000,0.003,0.008,0.008,0.000,0.000,0.079,0.000,0.287,0.006,0.000,0.000,0.008,0.000,41.002,0.003,0.003,0.417
19,0.020,0.247,0.010,0.247,1.802,0.008,0.035,9.145,0.010,0.010,0.948,0.010,0.010,5.435,0.295,0.000,0.000,0.018,0.015,0.151,0.000,0.000,0.050,0.348,0.008,0.068,14.686,0.287,0.000,0.003,0.005,0.020,0.088,0.209,0.111,0.872,0.245,0.376,0.734,0.015,0.013,0.003,21.233,0.018,0.010,0.038,0.008,0.000,0.003,0.035,0.025,0.015,0.000,0.005,0.368,0.003,0.615,0.008,0.000,0.003,0.035,0.035,38.919,0.058,0.018,0.376
20,0.000,0.045,0.008,0.045,0.554,0.000,0.013,8.785,0.000,0.000,0.237,0.000,0.000,5.848,0.115,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.011,0.101,0.005,0.016,15.910,0.072,0.000,0.000,0.000,0.011,0.003,0.051,0.048,0.720,0.061,0.091,0.171,0.005,0.003,0.003,23.043,0.000,0.005,0.003,0.008,0.000,0.000,0.003,0.008,0.008,0.000,0.003,0.083,0.000,0.224,0.003,0.000,0.000,0.011,0.000,41.933,0.003,0.003,0.394
21,0.103,0.587,0.039,0.600,3.232,0.002,0.044,8.992,0.024,0.000,1.962,0.024,0.004,4.804,0.368,0.015,0.024,0.009,0.061,0.412,0.000,0.000,0.199,0.773,0.009,0.335,13.126,0.598,0.002,0.000,0.000,0.112,0.053,0.403,0.193,0.642,0.442,0.677,1.430,0.018,0.002,0.011,19.040,0.004,0.009,0.107,0.024,0.004,0.013,0.068,0.022,0.022,0.000,0.015,0.672,0.009,0.547,0.000,0.000,0.000,0.401,0.048,36.483,0.015,0.042,0.344
22,0.098,0.593,0.037,0.606,3.113,0.002,0.045,9.085,0.022,0.000,1.851,0.022,0.006,4.458,0.347,0.014,0.022,0.008,0.057,0.425,0.000,0.000,0.185,0.717,0.008,0.311,13.016,0.608,0.002,0.000,0.000,0.104,0.049,0.394,0.183,0.614,0.429,0.679,1.361,0.016,0.002,0.010,19.264,0.004,0.008,0.100,0.022,0.004,0.012,0.063,0.020,0.020,0.000,0.026,0.679,0.012,0.543,0.000,0.000,0.000,0.380,0.045,37.255,0.014,0.039,0.319
23,0.092,0.525,0.034,0.536,2.899,0.002,0.043,9.154,0.021,0.000,1.744,0.023,0.004,4.115,0.326,0.013,0.021,0.008,0.056,0.366,0.000,0.000,0.178,0.700,0.008,0.302,12.863,0.538,0.002,0.000,0.000,0.101,0.045,0.360,0.173,0.591,0.386,0.611,1.283,0.015,0.002,0.009,19.435,0.004,0.008,0.092,0.021,0.004,0.011,0.060,0.019,0.019,0.000,0.015,0.606,0.008,0.489,0.000,0.000,0.000,0.345,0.045,38.787,0.013,0.036,0.298
24,0.088,0.621,0.032,0.630,3.338,0.002,0.046,9.285,0.019,0.000,1.864,0.028,0.009,3.896,0.362,0.014,0.025,0.009,0.049,0.469,0.000,0.000,0.200,0.660,0.007,0.338,12.377,0.579,0.002,0.000,0.000,0.102,0.091,0.385,0.168,0.656,0.415,0.817,1.451,0.025,0.002,0.012,18.784,0.004,0.030,0.103,0.019,0.004,0.014,0.068,0.026,0.026,0.000,0.026,0.718,0.011,0.597,0.000,0.000,0.000,0.378,0.117,38.125,0.016,0.035,0.278
25,0.002,0.079,0.008,0.079,0.484,0.000,0.006,9.426,0.010,0.000,0.262,0.002,0.002,4.418,0.157,0.002,0.000,0.002,0.004,0.050,0.000,0.000,0.010,0.097,0.004,0.014,14.643,0.107,0.000,0.000,0.004,0.014,0.018,0.060,0.048,0.659,0.056,0.111,0.149,0.000,0.000,0.002,22.451,0.000,0.002,0.014,0.000,0.004,0.004,0.002,0.012,0.012,0.000,0.002,0.121,0.006,0.141,0.004,0.000,0.000,0.032,0.004,44.809,0.000,0.002,0.300
26,0.038,0.299,0.017,0.299,2.159,0.003,0.043,9.576,0.015,0.000,1.111,0.017,0.010,3.830,0.404,0.002,0.019,0.002,0.026,0.205,0.007,0.000,0.057,0.262,0.010,0.096,13.081,0.483,0.000,0.000,0.003,0.107,0.086,0.244,0.095,0.688,0.249,0.640,0.853,0.002,0.000,0.003,20.145,0.000,0.022,0.076,0.009,0.021,0.015,0.048,0.012,0.012,0.000,0.003,0.409,0.015,0.456,0.015,0.000,0.000,0.253,0.058,41.668,0.003,0.010,0.260
